State,rate,Rank
South Dakota,2.9,1
Utah,3.0,2
Nebraska,3.1,3
Vermont,3.1,3
Kansas,3.2,5
Idaho,3.3,6
New Hampshire,3.3,6
Iowa,3.6,8
Wisconsin,3.8,9
Montana,3.9,10
Alabama,4.0,11
Indiana,4.0,11
Missouri,4.2,13
Minnesota,4.3,14
Oklahoma,4.4,15
Arkansas,4.5,16
Florida,4.7,17
North Dakota,4.7,17
Georgia,4.8,19
Maine,4.8,19
Tennessee,4.9,21
Ohio,5.0,22
Kentucky,5.2,23
Michigan,5.2,23
South Carolina,5.2,23
Virginia,5.2,23
Wyoming,5.3,27
Washington,5.6,28
North Carolina,5.7,29
Oregon,6.1,30
Maryland,6.2,31
West Virginia,6.2,31
Delaware,6.3,33
Mississippi,6.3,33
Alaska,6.6,35
Colorado,6.6,35
Arizona,6.9,37
Texas,6.9,37
Massachusetts,7.1,39
Pennsylvania,7.3,40
Rhode Island,7.3,40
Illinois,7.4,42
Louisiana,7.6,43
New Jersey,7.8,44
District of Columbia,8.1,45
Nevada,8.3,46
New Mexico,8.3,46
California,8.5,48
Connecticut,8.5,48
New York,8.9,50
Hawaii,9.2,51
