SCAMID,MONEY_ID
0,0
2,1
2,2
2,1
2,3
2,4
2,5
2,6
7,7
19,8
19,9
19,10
19,8
32,11
32,12
32,13
32,14
32,2
32,15
37,16
41,17
42,17
42,18
55,19
63,20
75,21
75,22
75,21
75,23
75,24
75,21
75,25
75,26
75,26
78,20
78,20
82,27
82,28
82,29
82,30
82,31
82,31
82,32
82,31
85,33
104,34
111,4
111,4
120,35
122,21
130,36
130,32
132,37
134,38
137,39
137,37
140,40
140,41
140,42
140,41
140,43
140,42
140,40
140,44
140,44
145,45
145,46
147,47
147,48
148,5
148,49
149,50
149,51
149,52
149,53
149,54
149,55
149,55
156,56
156,57
158,58
158,59
159,4
160,60
161,61
167,62
169,17
169,63
170,21
171,64
171,21
171,5
171,26
171,2
171,62
171,21
171,65
180,66
187,67
187,68
187,69
187,70
187,70
190,17
200,71
202,72
202,73
205,74
207,26
211,75
211,76
211,77
211,77
215,17
222,78
224,9
225,79
237,80
237,81
237,82
237,82
237,83
237,80
247,84
247,85
248,86
251,87
254,62
254,62
254,5
254,5
254,5
260,88
262,89
271,62
271,90
272,62
272,90
279,6
279,91
279,92
281,93
281,93
282,94
284,9
289,87
300,87
307,95
307,96
312,2
316,97
318,98
321,99
324,17
329,100
329,101
334,102
361,103
369,17
381,102
381,104
381,105
383,17
384,106
391,9
391,107
391,4
392,36
396,108
397,109
397,78
401,110
402,111
416,112
416,113
416,114
416,113
418,115
423,116
425,36
429,49
429,21
429,93
433,115
446,117
450,118
450,118
453,32
454,32
457,119
457,120
459,32
475,121
478,122
478,21
478,122
478,21
482,123
482,69
482,124
490,109
490,125
509,4
512,56
515,126
515,127
515,128
515,129
520,39
520,130
527,62
527,1
528,131
540,4
540,132
540,21
546,20
548,87
550,5
551,17
552,39
560,87
567,133
569,21
569,21
574,32
588,47
588,134
605,135
605,135
605,135
605,136
605,21
605,137
605,32
606,138
613,139
617,140
627,66
634,141
634,60
636,62
636,142
638,4
643,143
643,143
646,26
648,144
649,145
649,146
649,147
649,5
651,148
660,32
667,149
668,150
668,151
668,2
668,9
668,97
668,91
671,90
681,152
681,153
681,154
684,21
687,62
697,155
700,156
700,157
700,158
703,159
703,160
704,2
704,2
708,161
708,9
708,161
708,162
708,84
711,163
711,78
711,21
712,164
712,165
712,97
712,62
712,151
712,166
712,167
712,168
712,169
717,170
723,9
723,5
726,66
734,171
736,172
737,36
737,36
737,36
739,48
748,74
751,5
758,125
758,173
758,90
758,90
761,5
761,36
764,5
764,174
769,175
775,60
775,66
775,66
775,60
776,176
777,177
777,49
778,178
782,1
782,179
782,179
782,180
782,181
782,179
782,181
786,49
786,2
786,47
790,182
790,183
834,109
838,5
839,5
849,86
857,21
857,47
857,21
860,5
861,90
878,9
880,184
882,185
882,185
882,185
882,185
898,5
898,33
911,62
911,186
911,47
911,187
911,47
916,1
921,47
921,110
921,1
921,188
928,17
929,1
938,68
939,161
957,87
964,189
965,190
982,159
982,191
1005,26
1011,5
1011,87
1019,192
1025,193
1025,187
1029,194
1029,195
1029,196
1030,37
1030,197
1030,197
1030,198
1030,199
1035,5
1050,21
1052,125
1057,175
1057,200
1069,201
1069,39
1069,177
1069,202
1069,177
1069,39
1069,201
1070,201
1070,39
1070,177
1070,202
1070,177
1070,39
1070,201
1073,4
1073,3
1073,4
1073,62
1073,62
1076,201
1076,39
1076,177
1076,202
1076,177
1076,39
1076,201
1077,201
1077,39
1077,177
1077,202
1077,177
1077,39
1077,201
1080,4
1080,3
1080,4
1080,62
1080,62
1098,203
1098,21
1098,21
1098,97
1098,204
1098,205
1099,206
1102,6
1105,21
1105,136
1109,207
1109,208
1109,207
1110,21
1113,33
1115,5
1115,107
1116,209
1116,210
1117,107
1117,211
1117,3
1123,212
1124,32
1137,213
1137,213
1137,214
1142,5
1143,215
1143,216
1143,62
1150,36
1152,217
1159,21
1159,218
1176,17
1176,115
1177,78
1187,219
1187,220
1197,4
1197,20
1197,21
1199,5
1208,21
1209,221
1210,222
1211,78
1215,223
1215,223
1219,224
1219,225
1228,226
1230,26
1230,227
1230,5
1230,97
1230,21
1230,206
1230,21
1230,206
1230,26
1232,111
1232,228
1232,229
1232,111
1232,111
1233,230
1234,56
1236,175
1236,200
1244,2
1244,2
1245,5
1245,231
1245,232
1245,233
