,scammer,total,closed
0,https://voxya.com/company/resume-to-fill-com-complaints/1230789,1,1
1,https://voxya.com/company/kiran-motors-mumbai-complaints/1230725,1,0
2,https://voxya.com/company/kastech-group-of-companies-hyderabadb-complaints/1230700,1,0
3,https://voxya.com/company/naukri.com-fast-forwarded-services-complaints/14378,9,3
4,https://voxya.com/company/naukri.com-complaints/5950,69,20
5,https://voxya.com/company/impect-international-service-private-limited-complaints/1230438,1,1
6,https://voxya.com/company/ftm-international-complaints/1230412,1,0
7,https://voxya.com/company/hcl-complaints/1230396,1,0
8,https://voxya.com/company/rabbitohs-international-complaints/1222472,8,3
9,https://voxya.com/company/osr-technology-complaints/1230243,1,0
10,https://voxya.com/company/osworld-technology-complaints/1230137,1,1
11,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
12,https://voxya.com/company/strokx-technologies-complaints/1229997,2,0
13,https://voxya.com/company/prizm-global-services-on-behalf-of-amazon-complaints/1228117,4,1
14,https://voxya.com/company/newnuk-india-(opc)-private-limited-complaints/369013,2,0
15,https://voxya.com/company/spark-career-mentors-private-limited-complaints/76380,1,0
16,https://voxya.com/company/minanshika-softech-private-limited-complaints/1226305,3,1
17,https://voxya.com/company/digivision-services-rohini-sector-8-complaints/1229110,2,0
18,https://voxya.com/company/international-recruitment-service-group-bhuvneshwar-orisa-complaints/1229097,1,0
19,https://voxya.com/company/mahindra-and-mahindra-company-complaints/14058,2,0
20,https://voxya.com/company/jiji-technologies-private-limited-complaints/41903,1,0
21,https://voxya.com/company/recruitment-services-complaints/1228376,1,0
22,https://voxya.com/company/my-professions-com-complaints/1227349,1,0
23,https://voxya.com/company/early-salary-complaints/10275,15,5
24,https://voxya.com/company/neto-co-pty-ltd-complaints/1226911,3,1
25,https://voxya.com/company/international-recruitment-service-group-odisha-irsgrp-com-complaints/1227125,1,0
26,https://voxya.com/company/neto-co-pty-ltd-complaints/1226911,3,1
27,https://voxya.com/company/ude-usa-data-entry-complaints/1226865,1,0
28,https://voxya.com/company/international-recruitment-service-group-odisha-complaints/1226826,1,0
29,https://voxya.com/company/telentpro-india-complaints/1226657,1,0
30,https://voxya.com/company/sarva-itech-company-complaints/1219530,1,0
31,https://voxya.com/company/naukri-com-complaints/1209772,16,8
32,https://voxya.com/company/ram-agarwal-associates-complaints/1226753,1,0
33,https://voxya.com/company/international-recruitment-service-group-complaints/1226669,1,0
34,https://voxya.com/company/qnet-vihaan-india-pvt-ltd-complaints/1217218,21,7
35,https://voxya.com/company/roger-west-data-entry-company-complaints/1226485,2,0
36,https://voxya.com/company/roger-west-data-entry-company-complaints/1226485,2,0
37,https://voxya.com/company/bengal-placement-kolkata-complaints/1225853,1,0
38,https://voxya.com/company/skyarise-jobs-complaints/1225762,5,2
39,https://voxya.com/company/adi-software-systems-complaints/1225754,2,0
40,https://voxya.com/company/quickerjob-com-complaints/1225660,1,0
